week_end,pathogen,geography,percent_visits,as_of
2022-09-17,COVID,United States,2.3,2023-09-14
2022-09-17,Flu,United States,0.2,2023-09-14
2022-09-17,RSV,United States,0.3,2023-09-14
2022-09-17,Combined,United States,2.9,2023-09-14
2022-09-24,COVID,United States,2.0,2023-09-14
2022-09-24,Flu,United States,0.3,2023-09-14
2022-09-24,RSV,United States,0.4,2023-09-14
2022-09-24,Combined,United States,2.8,2023-09-14
2022-09-17,COVID,Alabama,2.1,2023-09-14
2022-09-17,COVID,Alaska,2.5,2023-09-14
2022-09-17,COVID,Arizona,1.5,2023-09-14
2022-09-17,COVID,Arkansas,1.7,2023-09-14
2022-09-17,COVID,California,1.4,2023-09-14
2022-09-17,COVID,Colorado,1.6,2023-09-14
2022-09-17,COVID,Connecticut,3.6,2023-09-14
2022-09-17,COVID,Delaware,2.6,2023-09-14
2022-09-17,COVID,District of Columbia,1.8,2023-09-14
2022-09-17,COVID,Florida,2.2,2023-09-14
2022-09-17,COVID,Georgia,0.9,2023-09-14
2022-09-17,COVID,Hawaii,2.8,2023-09-14
2022-09-17,COVID,Idaho,2.5,2023-09-14
2022-09-17,COVID,Illinois,2.5,2023-09-14
2022-09-17,COVID,Indiana,2.2,2023-09-14
2022-09-17,COVID,Iowa,3.5,2023-09-14
2022-09-17,COVID,Kansas,2.3,2023-09-14
2022-09-17,COVID,Kentucky,2.8,2023-09-14
2022-09-17,COVID,Louisiana,2.0,2023-09-14
2022-09-17,COVID,Maine,3.5,2023-09-14
2022-09-17,COVID,Maryland,2.6,2023-09-14
2022-09-17,COVID,Massachusetts,3.0,2023-09-14
2022-09-17,COVID,Michigan,3.7,2023-09-14
2022-09-17,COVID,Minnesota,2.1,2023-09-14
2022-09-17,COVID,Mississippi,1.3,2023-09-14
2022-09-17,COVID,Montana,3.1,2023-09-14
2022-09-17,COVID,Nebraska,2.0,2023-09-14
2022-09-17,COVID,Nevada,1.2,2023-09-14
2022-09-17,COVID,New Jersey,2.6,2023-09-14
2022-09-17,COVID,New Mexico,2.3,2023-09-14
2022-09-17,COVID,New York,2.1,2023-09-14
2022-09-17,COVID,North Carolina,3.7,2023-09-14
2022-09-17,COVID,North Dakota,2.9,2023-09-14
2022-09-17,COVID,Ohio,3.0,2023-09-14
2022-09-17,COVID,Oklahoma,2.1,2023-09-14
2022-09-17,COVID,Oregon,2.3,2023-09-14
2022-09-17,COVID,Pennsylvania,2.6,2023-09-14
2022-09-17,COVID,Rhode Island,2.0,2023-09-14
2022-09-17,COVID,South Carolina,2.4,2023-09-14
2022-09-17,COVID,Tennessee,2.0,2023-09-14
2022-09-17,COVID,Texas,2.0,2023-09-14
2022-09-17,COVID,Utah,2.1,2023-09-14
2022-09-17,COVID,Vermont,3.3,2023-09-14
2022-09-17,COVID,Virginia,2.8,2023-09-14
2022-09-17,COVID,West Virginia,4.1,2023-09-14
2022-09-17,COVID,Wisconsin,2.3,2023-09-14
2022-09-17,COVID,Wyoming,2.9,2023-09-14
2022-09-17,Flu,Alabama,0.5,2023-09-14
2022-09-17,Flu,Alaska,0.0,2023-09-14
2022-09-17,Flu,Arizona,0.1,2023-09-14
2022-09-17,Flu,Arkansas,0.1,2023-09-14
2022-09-17,Flu,California,0.1,2023-09-14
2022-09-17,Flu,Colorado,0.1,2023-09-14
2022-09-17,Flu,Connecticut,0.1,2023-09-14
2022-09-17,Flu,Delaware,0.1,2023-09-14
2022-09-17,Flu,District of Columbia,0.1,2023-09-14
2022-09-17,Flu,Florida,0.4,2023-09-14
2022-09-17,Flu,Georgia,0.6,2023-09-14
2022-09-17,Flu,Hawaii,1.0,2023-09-14
2022-09-17,Flu,Idaho,0.0,2023-09-14
2022-09-17,Flu,Illinois,0.1,2023-09-14
2022-09-17,Flu,Indiana,0.1,2023-09-14
2022-09-17,Flu,Iowa,0.3,2023-09-14
2022-09-17,Flu,Kansas,0.0,2023-09-14
2022-09-17,Flu,Kentucky,0.1,2023-09-14
2022-09-17,Flu,Louisiana,1.1,2023-09-14
2022-09-17,Flu,Maine,0.1,2023-09-14
2022-09-17,Flu,Maryland,0.2,2023-09-14
